locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFPBCAKN_01706	CDS	438	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
GFPBCAKN_01707	CDS	930	hdfR_3			HTH-type transcriptional regulator HdfR
GFPBCAKN_01708	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
GFPBCAKN_01709	CDS	597	yfbR_2	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
GFPBCAKN_01710	CDS	2532				hypothetical protein
GFPBCAKN_01711	CDS	2547				hypothetical protein
GFPBCAKN_01712	CDS	696				hypothetical protein
GFPBCAKN_01713	CDS	660	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
GFPBCAKN_01714	CDS	453				hypothetical protein
GFPBCAKN_01715	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
GFPBCAKN_01716	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
GFPBCAKN_01717	CDS	1086	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
GFPBCAKN_01718	CDS	1482	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
GFPBCAKN_01719	CDS	1263	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
GFPBCAKN_01720	CDS	1026				hypothetical protein
GFPBCAKN_01721	CDS	1269				hypothetical protein
GFPBCAKN_01722	CDS	828	ydcV_1			Inner membrane ABC transporter permease protein YdcV
GFPBCAKN_01723	CDS	531	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
GFPBCAKN_01724	CDS	129				hypothetical protein
GFPBCAKN_01725	CDS	162				hypothetical protein
GFPBCAKN_01726	CDS	894				Epimerase family protein
GFPBCAKN_01727	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
GFPBCAKN_01728	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
GFPBCAKN_01729	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
GFPBCAKN_01730	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
GFPBCAKN_01731	CDS	576	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
GFPBCAKN_01732	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
GFPBCAKN_01733	CDS	486	cvpA		COG1286	Colicin V production protein
GFPBCAKN_01734	CDS	261				hypothetical protein
GFPBCAKN_01735	CDS	750	dedD			Cell division protein DedD
GFPBCAKN_01736	CDS	1263	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
GFPBCAKN_01737	CDS	909	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
GFPBCAKN_01738	CDS	4179				hypothetical protein
GFPBCAKN_01739	CDS	660	dedA		COG0586	Protein DedA
GFPBCAKN_01740	CDS	816	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
GFPBCAKN_01741	CDS	1011	usg		COG0136	USG-1 protein
GFPBCAKN_01742	CDS	1134	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
GFPBCAKN_01743	CDS	789	nimR			HTH-type transcriptional regulator NimR
GFPBCAKN_01744	CDS	879				hypothetical protein
GFPBCAKN_01745	CDS	1038	flk			Flagellar regulator flk
GFPBCAKN_01746	CDS	453				hypothetical protein
GFPBCAKN_01747	CDS	1431	gabR_2		COG1167	HTH-type transcriptional regulatory protein GabR
GFPBCAKN_01748	CDS	360				hypothetical protein
GFPBCAKN_01749	CDS	276				hypothetical protein
GFPBCAKN_01750	CDS	306				hypothetical protein
GFPBCAKN_01751	CDS	1224	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
GFPBCAKN_01752	CDS	1998	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
GFPBCAKN_01753	CDS	282				hypothetical protein
GFPBCAKN_01754	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
GFPBCAKN_01755	CDS	798	yfcA		COG0730	putative membrane transporter protein YfcA
GFPBCAKN_01756	CDS	867	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
GFPBCAKN_01757	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
GFPBCAKN_01758	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
GFPBCAKN_01759	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
GFPBCAKN_01760	CDS	483	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
GFPBCAKN_01761	CDS	2148	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
GFPBCAKN_01762	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
GFPBCAKN_01763	CDS	1335	fadL		COG2067	Long-chain fatty acid transport protein
GFPBCAKN_01764	CDS	762	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
GFPBCAKN_01765	CDS	1206				hypothetical protein
GFPBCAKN_01766	CDS	462				hypothetical protein
GFPBCAKN_01767	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
GFPBCAKN_01768	CDS	1956	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
GFPBCAKN_01769	CDS	483	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
GFPBCAKN_01770	CDS	234				hypothetical protein
GFPBCAKN_01771	CDS	744	ccmC		COG0755	Heme exporter protein C
GFPBCAKN_01772	CDS	660	ccmB		COG2386	Heme exporter protein B
GFPBCAKN_01773	CDS	822	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GFPBCAKN_01774	CDS	780				hypothetical protein
GFPBCAKN_01775	CDS	438				hypothetical protein
GFPBCAKN_01776	CDS	453				hypothetical protein
GFPBCAKN_01777	CDS	1260	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GFPBCAKN_01778	tRNA	72				tRNA-Arg(cct)
GFPBCAKN_01779	CDS	1245	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
GFPBCAKN_01780	CDS	210				hypothetical protein
GFPBCAKN_01781	CDS	885		3.1.1.99		6-deoxy-6-sulfogluconolactonase
GFPBCAKN_01782	CDS	279				hypothetical protein
GFPBCAKN_01783	CDS	282				hypothetical protein
GFPBCAKN_01784	CDS	810				hypothetical protein
GFPBCAKN_01785	CDS	447				hypothetical protein
GFPBCAKN_01786	CDS	2016				hypothetical protein
GFPBCAKN_01787	CDS	1236	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
GFPBCAKN_01788	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
GFPBCAKN_01789	CDS	1653	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
GFPBCAKN_01790	CDS	990	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
GFPBCAKN_01791	CDS	369				hypothetical protein
GFPBCAKN_01792	CDS	1242	mntH		COG1914	Divalent metal cation transporter MntH
GFPBCAKN_01793	CDS	1185	nupC_1		COG1972	Nucleoside permease NupC
GFPBCAKN_01794	tRNA	76				tRNA-Ala(ggc)
GFPBCAKN_01795	tRNA	76				tRNA-Ala(ggc)
GFPBCAKN_01796	CDS	789	focA		COG2116	putative formate transporter 1
GFPBCAKN_01797	CDS	402				hypothetical protein
GFPBCAKN_01798	CDS	1410	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
GFPBCAKN_01799	tRNA	76				tRNA-Val(tac)
GFPBCAKN_01800	tRNA	76				tRNA-Lys(ttt)
GFPBCAKN_01801	tRNA	76				tRNA-Val(tac)
GFPBCAKN_01802	tRNA	76				tRNA-Lys(ttt)
GFPBCAKN_01803	tRNA	76				tRNA-Lys(ttt)
GFPBCAKN_01804	CDS	780	cpoB		COG1729	Cell division coordinator CpoB
GFPBCAKN_01805	CDS	519	pal_1		COG2885	Peptidoglycan-associated lipoprotein
GFPBCAKN_01806	CDS	1293	tolB_2		COG0823	Tol-Pal system protein TolB
GFPBCAKN_01807	CDS	1179				hypothetical protein
GFPBCAKN_01808	CDS	429	tolR		COG0848	Tol-Pal system protein TolR
GFPBCAKN_01809	CDS	687	tolQ		COG0811	Tol-Pal system protein TolQ
GFPBCAKN_01810	CDS	405	ybgC_1	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
GFPBCAKN_01811	CDS	873	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
GFPBCAKN_01812	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
GFPBCAKN_01813	CDS	1221	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
GFPBCAKN_01814	CDS	2808	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
GFPBCAKN_01815	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
GFPBCAKN_01816	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
GFPBCAKN_01817	CDS	351	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
GFPBCAKN_01818	CDS	390	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
GFPBCAKN_01819	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
GFPBCAKN_01820	CDS	795	nei	3.2.2.-	COG0266	Endonuclease 8
GFPBCAKN_01821	CDS	579	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
GFPBCAKN_01822	CDS	738	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
GFPBCAKN_01823	CDS	939	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
GFPBCAKN_01824	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
GFPBCAKN_01825	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
GFPBCAKN_01826	CDS	1449	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
GFPBCAKN_01827	CDS	957				hypothetical protein
GFPBCAKN_01828	CDS	207				hypothetical protein
GFPBCAKN_01829	CDS	681	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
GFPBCAKN_01830	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
GFPBCAKN_01831	CDS	519	seqA		COG3057	Negative modulator of initiation of replication
GFPBCAKN_01832	CDS	768	ybfF	3.1.-.-	COG0596	Esterase YbfF
GFPBCAKN_01833	CDS	282	ybfE			putative protein YbfE
GFPBCAKN_01834	CDS	531	fldA		COG0716	Flavodoxin
GFPBCAKN_01835	CDS	444	fur		COG0735	Ferric uptake regulation protein
GFPBCAKN_01836	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
GFPBCAKN_01837	CDS	120				hypothetical protein
GFPBCAKN_01838	CDS	1668	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
GFPBCAKN_01839	CDS	1902	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
GFPBCAKN_01840	CDS	801	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
GFPBCAKN_01841	CDS	1149	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
GFPBCAKN_01842	CDS	1239	nagC		COG1940	N-acetylglucosamine repressor
GFPBCAKN_01843	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
GFPBCAKN_01844	CDS	1665	asnB_1	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
GFPBCAKN_01845	tRNA	77				tRNA-Met(cat)
GFPBCAKN_01846	tRNA	85				tRNA-Leu(tag)
GFPBCAKN_01847	tRNA	75				tRNA-Gln(ttg)
GFPBCAKN_01848	tRNA	77				tRNA-Met(cat)
GFPBCAKN_01849	tRNA	75				tRNA-Gln(ctg)
GFPBCAKN_01850	tRNA	75				tRNA-Gln(ctg)
GFPBCAKN_01851	CDS	1179	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
GFPBCAKN_01852	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
GFPBCAKN_01853	CDS	1050	ybeZ		COG1702	PhoH-like protein
GFPBCAKN_01854	CDS	468	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
GFPBCAKN_01855	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
GFPBCAKN_01856	CDS	1530	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
GFPBCAKN_01857	CDS	930	gltI		COG0834	Glutamate/aspartate import solute-binding protein
GFPBCAKN_01858	CDS	738	gltJ		COG0765	Glutamate/aspartate import permease protein GltJ
GFPBCAKN_01859	CDS	678	gltK		COG0765	Glutamate/aspartate import permease protein GltK
GFPBCAKN_01860	CDS	726	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
GFPBCAKN_01861	CDS	483				hypothetical protein
GFPBCAKN_01862	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
GFPBCAKN_01863	CDS	600	lptE		COG2980	LPS-assembly lipoprotein LptE
GFPBCAKN_01864	CDS	1032	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
GFPBCAKN_01865	CDS	681	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
GFPBCAKN_01866	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
GFPBCAKN_01867	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
GFPBCAKN_01868	CDS	1905	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
GFPBCAKN_01869	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
GFPBCAKN_01870	CDS	1113	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
GFPBCAKN_01871	CDS	1236	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
GFPBCAKN_01872	CDS	264				hypothetical protein
GFPBCAKN_01873	CDS	654	lipB	2.3.1.181	COG0321	Octanoyltransferase
GFPBCAKN_01874	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
GFPBCAKN_01875	CDS	189	tatA_1		COG1826	Sec-independent protein translocase protein TatA
GFPBCAKN_01876	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
GFPBCAKN_01877	CDS	96				hypothetical protein
GFPBCAKN_01878	CDS	210	cspE			Cold shock-like protein CspE
GFPBCAKN_01879	CDS	570	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
GFPBCAKN_01880	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
GFPBCAKN_01881	CDS	624	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
GFPBCAKN_01882	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
GFPBCAKN_01883	CDS	861	ltnD	1.1.1.411		L-threonate dehydrogenase
GFPBCAKN_01884	CDS	762	glpR_2		COG1349	Glycerol-3-phosphate regulon repressor
GFPBCAKN_01885	CDS	249				hypothetical protein
GFPBCAKN_01886	CDS	1101				hypothetical protein
GFPBCAKN_01887	CDS	1425	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
GFPBCAKN_01888	CDS	1008	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
GFPBCAKN_01889	CDS	255				hypothetical protein
GFPBCAKN_01890	CDS	384	arnF			putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
GFPBCAKN_01891	CDS	327	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
GFPBCAKN_01892	CDS	1662	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
GFPBCAKN_01893	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
GFPBCAKN_01894	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
GFPBCAKN_01895	CDS	978	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
GFPBCAKN_01896	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
GFPBCAKN_01897	CDS	468				hypothetical protein
GFPBCAKN_01898	CDS	2382	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
GFPBCAKN_01899	CDS	2031	fyuA		COG1629	Pesticin receptor
GFPBCAKN_01900	CDS	375				hypothetical protein
GFPBCAKN_01901	CDS	1470	inlA		COG4886	Internalin A
GFPBCAKN_01902	CDS	1584	yejF_2		COG4172	putative ABC transporter ATP-binding protein YejF
GFPBCAKN_01903	CDS	810	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
GFPBCAKN_01904	CDS	990	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
GFPBCAKN_01905	CDS	1545	hbpA		COG0747	Heme-binding protein A
GFPBCAKN_01906	CDS	903	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
GFPBCAKN_01907	CDS	357				hypothetical protein
GFPBCAKN_01908	CDS	513				hypothetical protein
GFPBCAKN_01909	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
GFPBCAKN_01910	CDS	234				hypothetical protein
GFPBCAKN_01911	tRNA	74				tRNA-Gly(ccc)
GFPBCAKN_01912	CDS	297				hypothetical protein
GFPBCAKN_01913	CDS	162				hypothetical protein
GFPBCAKN_01914	CDS	306				hypothetical protein
GFPBCAKN_01915	tRNA	77				tRNA-Arg(tct)
GFPBCAKN_01916	CDS	867	folD		COG0190	Bifunctional protein FolD protein
GFPBCAKN_01917	CDS	213	ybcJ		COG2501	putative protein YbcJ
GFPBCAKN_01918	CDS	1017	adhP	1.1.1.1	COG1064	Alcohol dehydrogenase, propanol-preferring
GFPBCAKN_01919	CDS	1389	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
GFPBCAKN_01920	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
GFPBCAKN_01921	CDS	717	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
GFPBCAKN_01922	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
GFPBCAKN_01923	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
GFPBCAKN_01924	CDS	2418				hypothetical protein
GFPBCAKN_01925	CDS	687	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
GFPBCAKN_01926	CDS	603	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
GFPBCAKN_01927	CDS	423				hypothetical protein
GFPBCAKN_01928	CDS	408	caa_1			Colicin-A
GFPBCAKN_01929	CDS	219	caa_2			Colicin-A
GFPBCAKN_01930	CDS	537	cai			Colicin-A immunity protein
GFPBCAKN_01931	CDS	774				hypothetical protein
GFPBCAKN_01932	CDS	858	cnoX		COG3118	Chaperedoxin
GFPBCAKN_01933	CDS	915	qmcA		COG0330	Protein QmcA
GFPBCAKN_01934	CDS	453	ybbJ		COG1585	Inner membrane protein YbbJ
GFPBCAKN_01935	CDS	411	cueR		COG0789	HTH-type transcriptional regulator CueR
GFPBCAKN_01936	CDS	2508	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
GFPBCAKN_01937	CDS	804				hypothetical protein
GFPBCAKN_01938	CDS	483	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
GFPBCAKN_01939	CDS	867	cynR			HTH-type transcriptional regulator CynR
GFPBCAKN_01940	CDS	450				hypothetical protein
GFPBCAKN_01941	CDS	1704	ushA		COG0737	Protein UshA
GFPBCAKN_01942	CDS	1200	fsr			Fosmidomycin resistance protein
GFPBCAKN_01943	CDS	96				hypothetical protein
GFPBCAKN_01944	CDS	1686	ybaL		COG1226	Putative cation/proton antiporter YbaL
GFPBCAKN_01945	CDS	543				hypothetical protein
GFPBCAKN_01946	CDS	1305	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
GFPBCAKN_01947	CDS	960	hemH	4.99.1.1	COG0276	Ferrochelatase
GFPBCAKN_01948	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
GFPBCAKN_01949	CDS	903				hypothetical protein
GFPBCAKN_01950	CDS	876				hypothetical protein
GFPBCAKN_01951	CDS	399				hypothetical protein
GFPBCAKN_01952	CDS	705				hypothetical protein
GFPBCAKN_01953	CDS	876	trpI			HTH-type transcriptional regulator TrpI
GFPBCAKN_01954	CDS	1875	htpG		COG0326	Chaperone protein HtpG
GFPBCAKN_01955	CDS	606	recR		COG0353	Recombination protein RecR
GFPBCAKN_01956	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
GFPBCAKN_01957	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
GFPBCAKN_01958	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
GFPBCAKN_01959	CDS	372	ybaN_1		COG2832	Inner membrane protein YbaN
GFPBCAKN_01960	CDS	537	priC		COG3923	Primosomal replication protein N''
GFPBCAKN_01961	CDS	246				hypothetical protein
GFPBCAKN_01962	CDS	150				hypothetical protein
GFPBCAKN_01963	CDS	639	acrR		COG1309	HTH-type transcriptional regulator AcrR
GFPBCAKN_01964	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
GFPBCAKN_01965	CDS	3147	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
GFPBCAKN_01966	CDS	282	rpmE2		COG0254	50S ribosomal protein L31 type B
GFPBCAKN_01967	CDS	147	ykgO		COG0257	50S ribosomal protein L36 2
GFPBCAKN_01968	CDS	354				hypothetical protein
GFPBCAKN_01969	CDS	393	tomB			Hha toxicity modulator TomB
GFPBCAKN_01970	CDS	219	hha			Hemolysin expression-modulating protein Hha
GFPBCAKN_01971	CDS	405	ogt_1	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
GFPBCAKN_01972	CDS	558	ybaY		COG3126	putative lipoprotein YbaY
GFPBCAKN_01973	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
GFPBCAKN_01974	CDS	1287	amtB			Ammonia channel
GFPBCAKN_01975	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
GFPBCAKN_01976	CDS	1755	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
GFPBCAKN_01977	CDS	1770	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
GFPBCAKN_01978	CDS	474	decR_2		COG1522	DNA-binding transcriptional activator DecR
GFPBCAKN_01979	CDS	1011				hypothetical protein
GFPBCAKN_01980	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
GFPBCAKN_01981	CDS	405	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
GFPBCAKN_01982	CDS	333				hypothetical protein
GFPBCAKN_01983	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
GFPBCAKN_01984	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
GFPBCAKN_01985	CDS	2355	lon_2	3.4.21.53	COG0466	Lon protease
GFPBCAKN_01986	CDS	1275	clpX_1		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
GFPBCAKN_01987	CDS	597	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
GFPBCAKN_01988	CDS	1275	clpX_2		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
GFPBCAKN_01989	CDS	624	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
GFPBCAKN_01990	CDS	1305	tig	5.2.1.8	COG0544	Trigger factor
GFPBCAKN_01991	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
GFPBCAKN_01992	CDS	579				hypothetical protein
GFPBCAKN_01993	CDS	1488	ampG		COG0477	Anhydromuropeptide permease
GFPBCAKN_01994	CDS	939	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
GFPBCAKN_01995	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
GFPBCAKN_01996	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
GFPBCAKN_01997	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
GFPBCAKN_01998	CDS	888	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
GFPBCAKN_01999	CDS	1362	yajR		COG0477	Inner membrane transport protein YajR
GFPBCAKN_02000	CDS	492				hypothetical protein
GFPBCAKN_02001	CDS	921	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
GFPBCAKN_02002	CDS	597	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
GFPBCAKN_02003	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
GFPBCAKN_02004	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
GFPBCAKN_02005	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
GFPBCAKN_02006	CDS	1866	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
GFPBCAKN_02007	CDS	498	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
GFPBCAKN_02008	CDS	978	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
GFPBCAKN_02009	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
GFPBCAKN_02010	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
GFPBCAKN_02011	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
GFPBCAKN_02012	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
GFPBCAKN_02013	CDS	444	kbp		COG1652	Potassium binding protein Kbp
GFPBCAKN_02014	CDS	564	yajI			putative lipoprotein YajI
GFPBCAKN_02015	CDS	969	secF		COG0341	Protein translocase subunit SecF
GFPBCAKN_02016	CDS	1815	secD		COG0342	Protein translocase subunit SecD
GFPBCAKN_02017	CDS	330	yajC		COG1862	Sec translocon accessory complex subunit YajC
GFPBCAKN_02018	CDS	1131	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
GFPBCAKN_02019	CDS	360	yfdG_1		COG2246	Prophage bactoprenol-linked glucose translocase 
GFPBCAKN_02020	CDS	930	yfdH_1	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
GFPBCAKN_02021	CDS	1404				hypothetical protein
GFPBCAKN_02022	CDS	1077	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
GFPBCAKN_02023	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
GFPBCAKN_02024	CDS	603	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
GFPBCAKN_02025	CDS	1353	proY		COG1113	Proline-specific permease ProY
